,city,lat,lng,region_clusters
86,Clichy,48.9044,2.3064,7
87,Cherbourg,49.6333,-1.6,4
88,Montauban,44.0181,1.3558,6
89,Neuilly-sur-Seine,48.8881,2.2686,7
90,Chambéry,45.57,5.9118,8
91,Niort,46.3258,-0.4606,10
92,Sarcelles,48.9956,2.3808,7
93,Pantin,48.8966,2.4017,7
94,Lorient,47.75,-3.36,5
95,Le Blanc-Mesnil,48.9387,2.4614,7
96,Beauvais,49.4303,2.0952,7
97,Maisons-Alfort,48.8058,2.4378,7
98,Hyères,43.1199,6.1316,0
99,Épinay-sur-Seine,48.9553,2.3092,7
100,Meaux,48.9603,2.8883,7
101,Chelles,48.8833,2.6,7
102,Villejuif,48.7919,2.3636,7
103,Narbonne,43.1836,3.0042,6
104,La Roche-sur-Yon,46.6705,-1.426,10
105,Cholet,47.06,-0.8783,10
106,Saint-Quentin,49.8486,3.2864,1
107,Évry,48.6239,2.4294,7
108,Bobigny,48.9106,2.4397,7
109,Bondy,48.9022,2.4828,7
110,Vannes,47.6559,-2.7603,5
111,Clamart,48.8014,2.2628,7
112,Fontenay-sous-Bois,48.8517,2.4772,7
113,Fréjus,43.433,6.737,0
114,Arles,43.6767,4.6278,11
115,Sartrouville,48.9372,2.1644,7
116,Corbeil-Essonnes,48.6139,2.482,7
117,Bayonne,43.49,-1.48,9
118,Saint-Ouen,48.9123,2.3342,7
119,Sevran,48.9333,2.5333,7
120,Cagnes-sur-Mer,43.6644,7.1489,0
121,Massy,48.7309,2.2713,7
122,Grasse,43.6667,6.9167,0
123,Montrouge,48.8172,2.3219,7
124,Vincennes,48.8478,2.4392,7
125,Vaulx-en-Velin,45.7768,4.9186,8
126,Laval,48.0733,-0.7689,4
127,Suresnes,48.87,2.22,7
128,Albi,43.9289,2.1464,6
129,Martigues,43.4053,5.0475,11
130,Évreux,49.02,1.15,7
131,Brive-la-Gaillarde,45.1583,1.5321,2
132,Gennevilliers,48.9333,2.3,7
133,Charleville-Mézières,49.7719,4.7161,1
134,Saint-Herblain,47.2122,-1.6497,10
135,Aubagne,43.2908,5.5708,0
136,Rosny-sous-Bois,48.8667,2.4833,7
137,Saint-Priest,45.6972,4.9447,8
138,Saint-Malo,48.6481,-2.0075,5
139,Blois,47.5939,1.3281,7
140,Carcassonne,43.21,2.35,6
141,Bastia,42.7008,9.4503,0
142,Salon-de-Provence,43.6406,5.0972,11
143,Meudon,48.8123,2.2382,7
144,Choisy-le-Roi,48.763,2.409,7
145,Chalon-sur-Saône,46.7806,4.8528,8
146,Châlons-en-Champagne,48.9575,4.365,1
147,Saint-Germain-en-Laye,48.8989,2.0938,7
148,Puteaux,48.885,2.2389,7
149,Livry-Gargan,48.9192,2.5361,7
150,Saint-Brieuc,48.5136,-2.7653,5
151,Mantes-la-Jolie,48.9908,1.7172,7
152,Noisy-le-Sec,48.8894,2.4503,7
153,Les Sables-d’Olonne,46.4972,-1.7833,10
154,Alfortville,48.805,2.4239,7
155,Châteauroux,46.8103,1.6911,2
156,Valenciennes,50.358,3.5233,1
157,Sète,43.4053,3.6975,11
158,Caluire-et-Cuire,45.7953,4.8472,8
159,Istres,43.5151,4.9895,11
160,La Courneuve,48.9322,2.3967,7
161,Garges-lès-Gonesse,48.9728,2.4008,7
162,Talence,44.8,-0.584,9
163,Angoulême,45.65,0.16,9
164,Castres,43.6,2.25,6
165,Bron,45.7394,4.9139,8
166,Bourg-en-Bresse,46.2056,5.2289,8
167,Tarbes,43.23,0.07,9
168,Le Cannet,43.5769,7.0194,0
169,Rezé,47.1833,-1.55,10
170,Arras,50.292,2.78,1
171,Wattrelos,50.7,3.217,1
172,Bagneux,48.7983,2.3137,7
173,Gap,44.5594,6.0786,0
174,Thionville,49.3589,6.1692,3
175,Alès,44.1281,4.0817,11
176,Compiègne,49.4149,2.8231,1
177,Melun,48.5406,2.66,7
178,Douai,50.3714,3.08,1
179,Gagny,48.8833,2.5333,7
180,Draguignan,43.5403,6.4667,0
181,Colomiers,43.6139,1.3367,6
182,Anglet,43.485,-1.5183,9
183,Stains,48.95,2.3833,7
184,Marcq-en-Baroeul,50.6711,3.0972,1
185,Chartres,48.456,1.484,7
186,Saint-Martin-d’Hères,45.1672,5.7653,8
187,Joué-lés-Tours,47.3514,0.6625,10
188,Poissy,48.9294,2.0456,7
189,Châtillon,48.8,2.29,7
190,Villefranche-sur-Saône,45.9833,4.7167,8
191,Échirolles,45.1436,5.7183,8
192,Villepinte,48.955,2.541,7
193,Franconville,48.9889,2.2314,7
194,Savigny-sur-Orge,48.6797,2.3457,7
195,Sainte-Geneviève-des-Bois,48.6369,2.3403,7
196,Conflans-Sainte-Honorine,48.9992,2.0983,7
197,Annemasse,46.1958,6.2364,8
198,Bagnolet,48.8692,2.4181,7
199,Creil,49.2583,2.4833,7
200,Montluçon,46.3408,2.6033,2
201,Palaiseau,48.7145,2.2457,7
202,La Ciotat,43.1769,5.6086,0
203,Saint-Raphaël,43.4252,6.7684,0
204,Neuilly-sur-Marne,48.8537,2.549,7
205,Saint-Chamond,45.4775,4.5153,8
206,Thonon-les-Bains,46.3627,6.475,8
207,Auxerre,47.7986,3.5672,7
208,Haguenau,48.82,7.79,3
209,Roanne,46.0367,4.0689,8
210,Athis-Mons,48.7074,2.3889,7
211,Villenave-d’Ornon,44.7806,-0.5658,9
212,Le Perreux-Sur-Marne,48.8422,2.5036,7
213,Mâcon,46.3063,4.8313,8
214,Agen,44.2049,0.6212,9
215,Villeneuve-Saint-Georges,48.7325,2.4497,7
216,Meyzieu,45.7667,5.0036,8
217,Vitrolles,43.46,5.2486,11
218,Châtenay-Malabry,48.7653,2.2781,7
219,Romans-sur-Isère,45.0464,5.0517,8
220,Nevers,46.9933,3.1572,2
221,Montigny-le-Bretonneux,48.7711,2.0333,7
222,Marignane,43.416,5.2145,11
223,Nogent-sur-Marne,48.8375,2.4833,7
224,Six-Fours-les-Plages,43.1009,5.82,0
225,Les Mureaux,48.9875,1.9172,7
226,Trappes,48.7775,2.0025,7
227,Cambrai,50.1767,3.2356,1
228,Houilles,48.9261,2.1892,7
229,Schiltigheim,48.6078,7.75,3
230,Châtellerault,46.8178,0.5461,10
231,Vigneux-sur-Seine,48.7001,2.417,7
232,Plaisir,48.8183,1.9472,7
233,Lens,50.4322,2.8333,1
234,L’Haÿ-les-Roses,48.78,2.3374,7
235,Saint-Médard-en-Jalles,44.8964,-0.7164,9
236,Viry-Châtillon,48.6713,2.375,7
237,Cachan,48.7919,2.3319,7
238,Dreux,48.7372,1.3664,7
239,Liévin,50.4228,2.7786,1
240,Pontoise,49.0516,2.1017,7
241,Goussainville,49.0325,2.4747,7
242,Charenton-le-Pont,48.8265,2.405,7
243,Pierrefitte-sur-Seine,48.9656,2.3614,7
244,Malakoff,48.8169,2.2944,7
245,Chatou,48.8897,2.1573,7
246,Rillieux-la-Pape,45.8214,4.8983,8
247,Vandœuvre-lès-Nancy,48.6567,6.1683,3
248,Savigny-le-Temple,48.5841,2.5832,7
249,Saint-Cloud,48.84,2.22,7
250,Périgueux,45.1929,0.7217,9
251,Villemomble,48.8833,2.5,7
252,Maubeuge,50.2775,3.9734,1
253,Aix-les-Bains,45.6885,5.9153,8
254,Mont-de-Marsan,43.89,-0.5,9
255,Bezons,48.9261,2.2178,7
256,Clichy-sous-Bois,48.9102,2.5532,7
257,Vienne,45.5242,4.8781,8
258,Ris-Orangis,48.6537,2.4161,7
259,La Garenne-Colombes,48.9056,2.2445,7
260,Ermont,48.9922,2.2603,7
261,Le Plessis-Robinson,48.7811,2.2633,7
262,Dieppe,49.92,1.08,4
263,Yerres,48.7171,2.4881,7
264,Thiais,48.765,2.3923,7
265,Sotteville-lès-Rouen,49.4092,1.09,4
266,Menton,43.775,7.5,0
267,Orange,44.1383,4.8097,11
268,Draveil,48.6852,2.408,7
269,Grigny,48.6562,2.3849,7
270,Saint-Étienne-du-Rouvray,49.3786,1.105,7
271,Guyancourt,48.7714,2.0739,7
272,Agde,43.3108,3.4758,11
273,Décines-Charpieu,45.7694,4.9594,8
274,Bègles,44.8086,-0.5478,9
275,Soissons,49.3817,3.3236,1
276,Villiers-sur-Marne,48.8275,2.5447,7
277,Saint-Laurent-du-Var,43.668,7.188,0
278,Bourgoin-Jallieu,45.5861,5.2736,8
279,Carpentras,44.0558,5.0489,11
280,Bois-Colombes,48.9175,2.2683,7
281,Lomme,50.6455,2.9876,1
282,Fresnes,48.755,2.3221,7
283,Vanves,48.8208,2.2897,7
284,Le Chesnay,48.8203,2.1303,7
285,Villiers-le-Bel,49.0094,2.3911,7
286,Lambersart,50.65,3.025,1
287,Romainville,48.884,2.435,7
288,Bussy-Saint-Georges,48.8422,2.6983,7
289,Limeil-Brévannes,48.7464,2.4883,7
290,Tournefeuille,43.5853,1.3442,6
291,Saint-Sébastien-sur-Loire,47.2081,-1.5014,10
292,Bergerac,44.85,0.48,9
293,Montfermeil,48.9,2.5667,7
294,Illkirch-Graffenstaden,48.53,7.72,3
295,Rambouillet,48.6444,1.8308,7
296,Saumur,47.26,-0.0769,10
297,Vallauris,43.5805,7.0538,0
298,Sannois,48.9722,2.2578,7
299,Cavaillon,43.8375,5.0381,11
300,Brétigny-sur-Orge,48.6114,2.3059,7
301,Sucy-en-Brie,48.7697,2.5228,7
302,Miramas,43.5822,5.0019,11
303,Taverny,49.0264,2.2275,7
304,Orvault,47.2717,-1.6225,10
305,Villeparisis,48.9503,2.6025,7
306,Saint-Dizier,48.6383,4.9497,3
307,Oullins,45.715,4.8083,8
308,Lunel,43.6778,4.1361,11
309,La Teste-de-Buch,44.62,-1.1457,9
310,Hénin-Beaumont,50.4217,2.9508,1
311,Gonesse,48.9875,2.4494,7
312,Sens,48.1975,3.2877,7
313,Vierzon,47.2225,2.0694,2
314,Alençon,48.4306,0.0931,4
315,Le Grand-Quevilly,49.4072,1.0531,4
316,Brunoy,48.6979,2.5044,7
317,Gradignan,44.7725,-0.6156,9
318,Aurillac,44.9261,2.4406,2
319,Saintes,45.7464,-0.6333,10
320,Biarritz,43.48,-1.56,9
321,Élancourt,48.7847,1.9589,7
322,Montbéliard,47.51,6.8,3
323,Le Kremlin-Bicêtre,48.81,2.3581,7
324,La Garde,43.1256,6.0108,0
325,Eaubonne,48.9922,2.2806,7
326,Étampes,48.4343,2.1615,7
327,Champs-Sur-Marne,48.8529,2.6027,7
328,Muret,43.4611,1.3267,6
329,Béthune,50.5303,2.6408,1
330,Armentières,50.6881,2.8811,1
331,Laon,49.5639,3.6244,1
332,Libourne,44.92,-0.24,9
333,Cenon,44.8578,-0.5317,9
334,Fontenay-aux-Roses,48.7893,2.2888,7
335,Blagnac,43.6364,1.3906,6
336,Vertou,47.1689,-1.4697,10
337,Vichy,46.1278,3.4267,2
338,Cormeilles-en-Parisis,48.9739,2.2014,7
339,Rochefort,45.9421,-0.9588,10
340,Rodez,44.3506,2.575,6
341,Les Pavillons-sous-Bois,48.9,2.5,7
342,La Valette-du-Var,43.1383,5.9831,0
343,Vernon,49.09,1.49,7
344,Le Bouscat,44.8651,-0.5996,9
345,Orly,48.7439,2.3928,7
346,Montgeron,48.7039,2.4605,7
347,Villeneuve-la-Garenne,48.9372,2.3278,7
348,Saint-Ouen-l’Aumône,49.0447,2.1111,7
349,Dole,47.0931,5.4906,8
350,Maisons-Laffitte,48.9469,2.1456,7
351,Lormont,44.8792,-0.5217,9
352,Sèvres,48.8239,2.2117,7
353,Eysines,44.8853,-0.65,9
354,Les Lilas,48.88,2.42,7
355,Roissy-en-Brie,48.7906,2.6519,7
356,Grande-Synthe,51.0139,2.3028,1
357,Hérouville-Saint-Clair,49.2044,-0.3253,4
358,Abbeville,50.1058,1.8358,1
359,Frontignan,43.4483,3.7561,11
360,Lanester,47.7647,-3.3422,5
361,Épernay,49.0403,3.96,1
362,Saint-Mandé,48.8422,2.4186,7
363,Torcy,48.8502,2.6508,7
364,Fontaine,45.1939,5.6856,8
365,Mandelieu-la-Napoule,43.5464,6.9381,0
366,Oyonnax,46.2561,5.6556,8
367,Combs-la-Ville,48.67,2.56,7
368,Manosque,43.8342,5.7839,0
369,Deuil-la-Barre,48.9767,2.3272,7
370,Tassin-la-Demi-Lune,45.764,4.78,8
371,Loos,50.6128,3.0144,1
372,Millau,44.0986,3.0783,6
373,Villeneuve-sur-Lot,44.4081,0.705,9
374,Vélizy-Villacoublay,48.7834,2.1834,7
375,Sainte-Foy-lès-Lyon,45.73,4.8,8
376,Le Petit-Quevilly,49.4311,1.0539,4
377,Olivet,47.8639,1.9006,7
378,Chaumont,48.1117,5.1389,3
379,Auch,43.6465,0.5855,9
380,Dammarie-lè-Lys,48.5177,2.6402,7
381,Montigny-lès-Metz,49.1006,6.1539,3
382,Le Creusot,46.8014,4.4411,8
383,Montigny-lès-Cormeilles,48.9944,2.1958,7
384,Seynod,45.8889,6.0961,8
385,Forbach,49.19,6.9,3
386,Arcueil,48.8075,2.3361,7
387,Montmorency,48.9906,2.3228,7
388,Hazebrouck,50.725,2.5392,1
389,Annecy-le-Vieux,45.9192,6.1419,8
390,Villeneuve-le-Roi,48.7333,2.4167,7
391,Gif-sur-Yvette,48.7018,2.1339,7
392,Couëron,47.2156,-1.7228,10
393,Thorigny-sur-Marne,48.8788,2.7075,7
394,Longjumeau,48.6943,2.2958,7
395,Saint-Genis-Laval,45.696,4.793,8
396,Allauch,43.3369,5.4828,11
397,Saint-Louis,47.59,7.57,3
398,La Madeleine,50.6558,3.071,1
399,Gujan-Mestras,44.6364,-1.0667,9
400,Neuilly-Plaisance,48.8619,2.5064,7
401,Coudekerque-Branche,51.0253,2.3917,1
402,Les Pennes-Mirabeau,43.4106,5.3103,11
403,Croix,50.6781,3.1508,1
404,Beaune,47.025,4.8397,8
405,Fleury-les-Aubrais,47.9512,1.8745,7
406,Achères,48.9602,2.0684,7
407,La Celle-Saint-Cloud,48.8411,2.1344,7
408,Morsang-sur-Orge,48.6618,2.3461,7
409,Le Mée-sur-Seine,48.5333,2.6289,7
410,Halluin,50.7836,3.1256,1
411,Gardanne,43.4553,5.476,11
412,Sarreguemines,49.11,7.07,3
413,Mons-en-Baroeul,50.6369,3.1103,1
414,Saint-Jean-de-Braye,47.9128,1.9719,7
415,Saint-Gratien,48.9719,2.2828,7
416,Dax,43.71,-1.05,9
417,Bourg-la-Reine,48.7796,2.3151,7
418,Challans,46.8467,-1.8781,10
419,Chaville,48.8086,2.1886,7
420,Castelnau-le-Lez,43.6369,3.9019,11
421,Saint-Pol-sur-Mer,51.0314,2.3439,1
422,Wasquehal,50.6694,3.1308,1
423,Mantes-la-Ville,48.975,1.7117,7
424,Fougères,48.3525,-1.1986,4
425,Pertuis,43.695,5.5036,11
426,Mitry-Mory,48.9839,2.6164,7
427,Ozoir-la-Ferrière,48.778,2.68,7
428,Lisieux,49.15,0.23,4
429,Montereau-faut-Yonne,48.3853,2.9508,7
430,Chilly-Mazarin,48.7025,2.3125,7
431,Le Plessis-Trévise,48.8111,2.5717,7
432,Givors,45.5906,4.7689,8
433,Voiron,45.3642,5.5906,8
434,Cournon-d’Auvergne,45.7422,3.1972,2
435,Lannion,48.7325,-3.4553,5
436,Nogent-sur-Oise,49.2756,2.4683,7
437,Carquefou,47.2969,-1.4928,10
438,Saint-Michel-sur-Orge,48.6325,2.3028,7
439,Denain,50.3286,3.395,1
440,Cahors,44.4475,1.4406,6
441,Bourg-lès-Valence,44.9475,4.8953,11
442,Chevilly-Larue,48.7664,2.3533,7
443,Bressuire,46.84,-0.4886,10
444,Saint-Dié-des-Vosges,48.2842,6.9492,3
445,L’Isle-sur-la-Sorgue,43.9194,5.0514,11
446,Bouguenais,47.1775,-1.6214,10
447,Sceaux,48.7786,2.2906,7
448,Moulins,46.5647,3.3325,2
449,La Chapelle-sur-Erdre,47.2989,-1.5528,10
450,Joinville-le-Pont,48.8214,2.4728,7
451,Concarneau,47.8753,-3.9189,5
452,Mougins,43.6,6.9947,0
453,Ronchin,50.6047,3.0878,1
454,Sélestat,48.2594,7.4542,3
455,Mont-Saint-Aignan,49.4625,1.0872,4
456,Saint-Fons,45.7086,4.8533,8
457,Albertville,45.6758,6.3925,8
458,Le Puy-en-Velay,45.0433,3.885,11
459,Saint-Lô,49.1144,-1.0917,4
460,Saint-Cyr-l’École,48.8003,2.0625,7
461,Riom,45.8936,3.1125,2
462,Lingolsheim,48.5575,7.6831,3
463,Plaisance-du-Touch,43.5656,1.2964,6
464,Villefontaine,45.6133,5.1486,8
465,Sorgues,44.0083,4.8725,11
466,Vence,43.7225,7.1119,0
467,Cognac,45.6958,-0.3292,10
468,Hem,50.6553,3.1878,1
469,Écully,45.7744,4.7775,8
470,Gentilly,48.8133,2.3444,7
471,Bruz,48.0247,-1.7458,5
472,La Crau,43.1497,6.0742,0
473,Royan,45.6231,-1.0431,10
474,Hellemmes-Lille,50.6283,3.11,1
475,Louviers,49.2153,1.1656,7
476,Cran-Gévrier,45.9036,6.1039,8
477,Bruges,44.8828,-0.6125,9
478,Cugnaux,43.5378,1.3436,6
479,Vitré,48.1233,-1.2094,4
480,Fécamp,49.7575,0.3792,4
481,Soisy-sous-Montmorency,48.9878,2.2997,7
482,Brie-Comte-Robert,48.6925,2.6111,7
483,Fâches-Thumesnil,50.5989,3.0736,1
484,Éragny,49.0172,2.0914,7
485,Chennevières-sur-Marne,48.7983,2.5339,7
486,Bagnols-sur-Cèze,44.1625,4.62,11
487,Bonneuil-sur-Marne,48.7742,2.4875,7
488,Lunéville,48.5894,6.5017,3
489,Maurepas,48.7628,1.9456,7
490,Montceau-les-Mines,46.6669,4.3689,8
491,Floirac,44.8364,-0.5258,9
492,Moissy-Cramayel,48.6261,2.5922,7
493,Ploemeur,47.7358,-3.4311,5
494,Garches,48.8456,2.1869,7
495,Avion,50.4097,2.8328,1
496,Les Clayes-sous-Bois,48.8206,1.9836,7
497,Marmande,44.5,0.1653,9
498,Le Pré-Saint-Gervais,48.885,2.4039,7
499,Meylan,45.2086,5.7794,8
500,Châteauneuf-les-Martigues,43.3831,5.1642,11
501,Osny,49.0592,2.0625,7
502,Carvin,50.4931,2.9581,1
503,Pontarlier,46.9061,6.3547,8
504,Brignoles,43.4058,6.0617,0
505,Lons-le-Saunier,46.6744,5.5539,8
506,Cesson-Sévigné,48.1208,-1.6036,5
507,Le Pontet,43.9642,4.86,11
508,Chamalières,45.7736,3.0669,2
509,Verdun,49.1597,5.3828,3
510,Limay,48.9933,1.7358,7
511,Bischheim,48.6139,7.7519,3
512,Juvisy-sur-Orge,48.6883,2.3775,7
513,Cluses,46.0603,6.5786,8
514,Firminy,45.3881,4.2872,8
515,Cestas,44.7444,-0.6822,9
516,Bry-sur-Marne,48.8411,2.5222,7
517,Hendaye,43.3586,-1.7744,9
518,Mauguio,43.6164,4.0075,11
519,Lattes,43.5678,3.9021,11
520,Sanary-sur-Mer,43.1192,5.8022,0
521,Yutz,49.3589,6.1886,3
522,Vauréal,49.03,2.0214,7
523,Saint-Maximin-la-Sainte-Baume,43.4533,5.8619,0
524,Port-de-Bouc,43.405,4.9886,11
525,Ambarès-et-Lagrave,44.9247,-0.4867,9
526,Balma,43.6103,1.4986,6
527,Sallanches,45.9364,6.6319,8
528,Boissy-Saint-Léger,48.7503,2.5097,7
529,Saint-Jean-de-la-Ruelle,47.9131,1.8733,7
530,Viroflay,48.8,2.1722,7
531,Saran,47.9514,1.8803,7
532,Marly-le-Roi,48.8669,2.0942,7
533,Digne-les-Bains,44.0925,6.2356,0
534,Annonay,45.24,4.6708,8
535,Carrières-sous-Poissy,48.9478,2.0386,7
536,Jouy-le-Moutier,49.0108,2.0386,7
537,Elbeuf,49.2858,1.0083,4
538,Sedan,49.7019,4.9403,1
539,L’Isle-d’Abeau,45.6194,5.2331,8
540,Le Bourget,48.9344,2.4244,7
541,Les Herbiers,46.8711,-1.0136,10
542,Vendôme,47.7928,1.0656,7
543,Escoublac,47.2858,-2.3922,5
544,Guérande,47.3281,-2.4292,5
545,Saint-Amand-les-Eaux,50.4481,3.4269,1
546,Tourlaville,49.6408,-1.5789,4
547,Châteaurenard,43.8825,4.855,11
548,Saint-Cyr-sur-Loire,47.4028,0.6781,10
549,Verneuil-sur-Seine,48.9797,1.9739,7
550,Le Pecq,48.8967,2.1061,7
551,Landerneau,48.4508,-4.2494,5
552,Hayange,49.3297,6.0619,3
553,Le Vésinet,48.8939,2.1322,7
554,Hennebont,47.8042,-3.2789,5
555,Orsay,48.6981,2.1875,7
556,Saint-Leu-la-Forêt,49.0169,2.2464,7
557,Saint-Égrève,45.2317,5.6831,8
558,Villeneuve-Loubet,43.6581,7.1214,0
559,Saint-Pierre-des-Corps,47.3908,0.7281,10
560,Beaucaire,43.8072,4.6433,11
561,Noisiel,48.8547,2.6289,7
562,Montbrison,45.6075,4.0653,8
563,Pamiers,43.1164,1.6108,6
564,Fos-sur-Mer,43.4544,4.9436,11
565,Pornic,47.1156,-2.1033,5
566,Montivilliers,49.5461,0.1881,4
567,Sin-le-Noble,50.3631,3.1131,1
568,Blanquefort,44.9106,-0.6375,9
569,Saint-Julien-en-Genevois,46.1442,6.0842,8
570,Toul,48.675,5.8917,3
571,Lucé,48.4383,1.465,7
572,Saint-Avold,49.1042,6.7081,3
573,Domont,49.0275,2.3267,7
574,Fontainebleau,48.4089,2.7017,7
575,Rumilly,45.8667,5.9444,8
576,Château-Thierry,49.0464,3.4031,7
577,Gaillac,43.9006,1.8983,6
578,Sainte-Luce-sur-Loire,47.2494,-1.4867,10
579,Bois-d’Arcy,48.8014,2.0317,7
580,Issoire,45.5442,3.2489,2
581,Tarascon,43.805,4.6594,11
582,Rive-de-Gier,45.5294,4.6169,8
583,Olonne-sur-Mer,46.5361,-1.7728,10
584,Saint-Rambert,45.4994,4.24,8
585,Bailleul,50.7375,2.7339,1
586,Montesson,48.9086,2.1494,7
587,Vesoul,47.6222,6.1553,3
588,Saint-Avertin,47.3667,0.7267,10
589,Verrières-le-Buisson,48.7475,2.2628,7
590,La Flèche,47.6997,-0.0761,4
591,Senlis,49.2072,2.5867,7
592,Pontivy,48.0686,-2.9628,5
593,Saint-Brice-sous-Forêt,48.9986,2.3569,7
594,Guipavas,48.4336,-4.4008,5
595,Valenton,48.745,2.4672,7
596,Crépy-en-Valois,49.2344,2.8875,7
597,Montargis,47.9969,2.7325,7
598,Bouc-Bel-Air,43.4544,5.4144,11
599,Flers,48.7483,-0.5694,4
600,Haubourdin,50.6092,2.9869,1
601,Trélazé,47.4461,-0.4664,10
602,Coulommiers,48.8156,3.0836,7
603,Wattignies,50.585,3.0431,1
604,Bar-le-Duc,48.7717,5.1672,3
605,Longwy,49.5197,5.7606,3
606,Morlaix,48.5775,-3.8278,5
607,Saint-Omer,50.7483,2.2608,1
608,Le Raincy,48.8992,2.5231,7
609,Tulle,45.2658,1.7722,2
610,Illzach,47.7822,7.3481,3
611,Mennecy,48.5653,2.4361,7
612,Francheville,45.7364,4.7636,8
613,Roquebrune-sur-Argens,43.4433,6.6378,0
614,Méru,49.2358,2.135,7
615,Hautmont,50.2481,3.9244,1
616,Villers-lès-Nancy,48.6731,6.1547,3
617,Wittenheim,47.8075,7.3369,3
618,Caudry,50.125,3.4117,1
619,Ramonville-Saint-Agne,43.5461,1.4756,6
620,Pont-à-Mousson,48.9044,6.0542,3
621,Château-d’Olonne,46.5042,-1.7372,10
622,Arnouville-lès-Gonesse,48.9872,2.4167,7
623,Romilly-sur-Seine,48.5158,3.7267,7
624,Bois-Guillaume,49.47,1.1194,7
625,Laxou,48.6856,6.1522,3
626,Dinan,48.4556,-2.0503,5
627,Lognes,48.8361,2.6278,7
628,Canteleu,49.4511,1.0361,4
629,Fameck,49.2992,6.1097,3
630,Sainte-Maxime,43.3089,6.6378,0
631,Chenôve,47.2911,5.0072,8
632,Ambérieu-en-Bugey,45.9581,5.3578,8
633,Saint-Jean-de-Luz,43.3903,-1.6597,9
634,Plérin,48.5344,-2.7708,5
635,Montmagny,48.9736,2.3458,7
636,Saint-Brevin-les-Pins,47.2464,-2.1669,5
637,Saint-Fargeau,48.5328,2.5447,7
638,Rixheim,47.7486,7.4044,3
639,Avrillé,47.5069,-0.5889,10
640,Douarnenez,48.0922,-4.3303,5
641,Saint-Maurice,48.8183,2.4347,7
